지역,기준일,전일대비 확진자수, 격리 해제수
제주,2020-12-24,26,116
경남,2020-12-24,21,811
경북,2020-12-24,50,1742
전남,2020-12-24,2,450
전북,2020-12-24,12,483
충남,2020-12-24,31,1007
충북,2020-12-24,47,484
강원,2020-12-24,21,735
경기,2020-12-24,285,8982
세종,2020-12-24,2,123
울산,2020-12-24,9,343
대전,2020-12-24,11,604
광주,2020-12-24,15,784
인천,2020-12-24,53,1703
대구,2020-12-24,26,7134
부산,2020-12-24,44,1092
서울,2020-12-24,319,9171
검역,2020-12-23,9,1660
제주,2020-12-23,33,105
경남,2020-12-23,29,796
경북,2020-12-23,25,1734
전남,2020-12-23,12,445
전북,2020-12-23,21,467
충남,2020-12-23,11,991
충북,2020-12-23,58,463
강원,2020-12-23,13,720
경기,2020-12-23,310,8786
세종,2020-12-23,1,123
울산,2020-12-23,18,333
대전,2020-12-23,35,599
광주,2020-12-23,36,771
인천,2020-12-23,49,1665
대구,2020-12-23,24,7122
부산,2020-12-23,32,1082
서울,2020-12-23,376,8864
검역,2020-12-23,9,1658
제주,2020-12-23,33,103
경남,2020-12-23,29,768
경북,2020-12-23,25,1721
전남,2020-12-23,12,425
전북,2020-12-23,21,452
충남,2020-12-23,11,974
충북,2020-12-23,58,441
강원,2020-12-23,13,709
경기,2020-12-23,310,8608
세종,2020-12-23,1,122
울산,2020-12-23,18,299
대전,2020-12-23,35,577
광주,2020-12-23,36,755
인천,2020-12-23,49,1617
대구,2020-12-23,24,7098
부산,2020-12-23,32,1039
서울,2020-12-23,376,8562
검역,2020-12-22,18,1658
제주,2020-12-22,19,103
경남,2020-12-22,18,768
경북,2020-12-22,59,1721
전남,2020-12-22,5,425
전북,2020-12-22,4,452
충남,2020-12-22,17,974
충북,2020-12-22,31,441
강원,2020-12-22,23,709
경기,2020-12-22,204,8608
세종,2020-12-22,1,122
울산,2020-12-22,6,299
대전,2020-12-22,9,577
광주,2020-12-22,26,755
인천,2020-12-22,45,1617
대구,2020-12-22,39,7098
부산,2020-12-22,26,1039
서울,2020-12-22,317,8562
검역,2020-12-22,18,1658
제주,2020-12-22,19,103
경남,2020-12-22,18,768
경북,2020-12-22,59,1721
전남,2020-12-22,5,425
전북,2020-12-22,4,452
충남,2020-12-22,17,974
충북,2020-12-22,31,441
강원,2020-12-22,23,709
경기,2020-12-22,206,8608
세종,2020-12-22,1,122
울산,2020-12-22,6,299
대전,2020-12-22,9,577
광주,2020-12-22,26,755
인천,2020-12-22,45,1617
대구,2020-12-22,39,7098
부산,2020-12-22,26,1039
서울,2020-12-22,317,8562
검역,2020-12-22,18,1658
제주,2020-12-22,19,103
경남,2020-12-22,18,768
경북,2020-12-22,59,1721
전남,2020-12-22,5,425
전북,2020-12-22,4,452
충남,2020-12-22,17,974
충북,2020-12-22,31,441
강원,2020-12-22,23,709
경기,2020-12-22,206,8608
세종,2020-12-22,1,122
울산,2020-12-22,6,299
대전,2020-12-22,9,577
광주,2020-12-22,26,755
인천,2020-12-22,45,1617
대구,2020-12-22,39,7098
부산,2020-12-22,26,1039
서울,2020-12-22,317,8562
검역,2020-12-21,10,1658
제주,2020-12-21,23,102
경남,2020-12-21,15,748
경북,2020-12-21,48,1715
전남,2020-12-21,9,418
전북,2020-12-21,13,441
충남,2020-12-21,16,950
충북,2020-12-21,33,424
강원,2020-12-21,25,692
경기,2020-12-21,244,8235
세종,2020-12-21,0,121
울산,2020-12-21,17,280
대전,2020-12-21,3,568
광주,2020-12-21,13,751
인천,2020-12-21,88,1591
대구,2020-12-21,21,7082
부산,2020-12-21,20,1009
서울,2020-12-21,328,8370
검역,2020-12-20,9,1657
제주,2020-12-20,24,93
경남,2020-12-20,51,734
경북,2020-12-20,25,1711
전남,2020-12-20,4,418
전북,2020-12-20,29,439
충남,2020-12-20,20,942
충북,2020-12-20,14,415
강원,2020-12-20,55,684
경기,2020-12-20,249,8082
세종,2020-12-20,1,121
울산,2020-12-20,6,270
대전,2020-12-20,3,559
광주,2020-12-20,14,747
인천,2020-12-20,62,1573
대구,2020-12-20,25,7075
부산,2020-12-20,33,982
서울,2020-12-20,473,8220
검역,2020-12-19,4,1657
제주,2020-12-19,24,91
경남,2020-12-19,32,715
경북,2020-12-19,29,1703
전남,2020-12-19,5,413
전북,2020-12-19,15,430
충남,2020-12-19,24,928
충북,2020-12-19,103,404
강원,2020-12-19,27,676
경기,2020-12-19,278,8082
세종,2020-12-19,0,118
울산,2020-12-19,9,255
대전,2020-12-19,5,551
광주,2020-12-19,9,742
인천,2020-12-19,46,1513
대구,2020-12-19,20,7073
부산,2020-12-19,39,952
서울,2020-12-19,382,8031
검역,2020-12-19,4,1657
제주,2020-12-19,24,91
경남,2020-12-19,32,715
경북,2020-12-19,29,1703
전남,2020-12-19,5,413
전북,2020-12-19,15,430
충남,2020-12-19,24,928
충북,2020-12-19,103,404
강원,2020-12-19,27,676
경기,2020-12-19,278,8082
세종,2020-12-19,0,118
울산,2020-12-19,9,255
대전,2020-12-19,5,551
광주,2020-12-19,9,742
인천,2020-12-19,46,1513
대구,2020-12-19,20,7073
부산,2020-12-19,39,952
서울,2020-12-19,384,8031
검역,2020-12-18,9,1657
제주,2020-12-18,27,86
경남,2020-12-18,44,695
경북,2020-12-18,31,1697
전남,2020-12-18,5,406
전북,2020-12-18,16,419
충남,2020-12-18,18,912
충북,2020-12-18,31,378
강원,2020-12-18,18,661
경기,2020-12-18,304,7944
세종,2020-12-18,0,116
울산,2020-12-18,31,244
대전,2020-12-18,5,545
광주,2020-12-18,4,736
인천,2020-12-18,64,1498
대구,2020-12-18,20,7067
부산,2020-12-18,39,925
서울,2020-12-18,398,7996
검역,2020-12-17,7,1654
제주,2020-12-17,12,82
경남,2020-12-17,30,677
경북,2020-12-17,9,1686
전남,2020-12-17,0,404
전북,2020-12-17,19,405
충남,2020-12-17,19,893
충북,2020-12-17,19,363
강원,2020-12-17,9,655
경기,2020-12-17,291,7820
세종,2020-12-17,0,116
울산,2020-12-17,10,238
대전,2020-12-17,11,535
광주,2020-12-17,10,730
인천,2020-12-17,80,1461
대구,2020-12-17,21,7063
부산,2020-12-17,44,907
서울,2020-12-17,423,7921
검역,2020-12-17,7,1654
제주,2020-12-17,12,82
경남,2020-12-17,30,677
경북,2020-12-17,9,1686
전남,2020-12-17,0,404
전북,2020-12-17,19,405
충남,2020-12-17,19,893
충북,2020-12-17,19,363
강원,2020-12-17,9,655
경기,2020-12-17,291,7820
세종,2020-12-17,0,116
울산,2020-12-17,10,238
대전,2020-12-17,11,535
광주,2020-12-17,10,730
인천,2020-12-17,80,1461
대구,2020-12-17,21,7063
부산,2020-12-17,44,907
서울,2020-12-17,423,7921
검역,2020-12-16,6,1654
제주,2020-12-16,15,82
경남,2020-12-16,19,659
경북,2020-12-16,28,1676
전남,2020-12-16,4,378
전북,2020-12-16,75,382
충남,2020-12-16,35,869
충북,2020-12-16,23,345
강원,2020-12-16,8,641
경기,2020-12-16,329,7642
세종,2020-12-16,0,110
울산,2020-12-16,6,231
대전,2020-12-16,15,522
광주,2020-12-16,2,715
인천,2020-12-16,67,1436
대구,2020-12-16,27,7053
부산,2020-12-16,41,862
서울,2020-12-16,378,7690
검역,2020-12-15,8,1654
제주,2020-12-15,9,78
경남,2020-12-15,16,632
경북,2020-12-15,15,1671
전남,2020-12-15,1,373
전북,2020-12-15,15,366
충남,2020-12-15,37,849
충북,2020-12-15,25,316
강원,2020-12-15,13,629
경기,2020-12-15,288,7481
세종,2020-12-15,1,110
울산,2020-12-15,49,218
대전,2020-12-15,32,512
광주,2020-12-15,5,697
인천,2020-12-15,55,1415
대구,2020-12-15,19,7048
부산,2020-12-15,41,846
서울,2020-12-15,251,7664
검역,2020-12-14,17,1654
제주,2020-12-14,8,75
경남,2020-12-14,28,617
경북,2020-12-14,16,1657
전남,2020-12-14,1,367
전북,2020-12-14,8,337
충남,2020-12-14,55,835
충북,2020-12-14,21,302
강원,2020-12-14,14,589
경기,2020-12-14,226,7309
세종,2020-12-14,3,107
울산,2020-12-14,5,214
대전,2020-12-14,2,502
광주,2020-12-14,22,689
인천,2020-12-14,36,1403
대구,2020-12-14,16,7042
부산,2020-12-14,21,830
서울,2020-12-14,219,7573
검역,2020-12-13,14,1653
제주,2020-12-13,3,75
경남,2020-12-13,24,613
경북,2020-12-13,18,1651
전남,2020-12-13,6,366
전북,2020-12-13,9,326
충남,2020-12-13,10,828
충북,2020-12-13,15,299
강원,2020-12-13,18,578
경기,2020-12-13,331,7184
세종,2020-12-13,0,106
울산,2020-12-13,8,214
대전,2020-12-13,13,498
광주,2020-12-13,15,682
인천,2020-12-13,62,1384
대구,2020-12-13,28,7042
부산,2020-12-13,57,825
서울,2020-12-13,399,7490
검역,2020-12-12,12,1651
제주,2020-12-12,0,75
경남,2020-12-12,17,600
경북,2020-12-12,19,1648
전남,2020-12-12,8,363
전북,2020-12-12,6,315
충남,2020-12-12,10,818
충북,2020-12-12,21,286
강원,2020-12-12,36,567
경기,2020-12-12,272,7048
세종,2020-12-12,1,104
울산,2020-12-12,23,208
대전,2020-12-12,18,492
광주,2020-12-12,9,680
인천,2020-12-12,42,1363
대구,2020-12-12,35,7036
부산,2020-12-12,59,783
서울,2020-12-12,362,7456
검역,2020-12-11,7,1650
제주,2020-12-11,5,75
경남,2020-12-11,12,576
경북,2020-12-11,3,1634
전남,2020-12-11,4,353
전북,2020-12-11,7,289
충남,2020-12-11,10,808
충북,2020-12-11,20,278
강원,2020-12-11,11,553
경기,2020-12-11,229,6925
세종,2020-12-11,0,103
울산,2020-12-11,47,201
대전,2020-12-11,10,483
광주,2020-12-11,3,670
인천,2020-12-11,37,1350
대구,2020-12-11,6,7021
부산,2020-12-11,26,757
